rbt1_scan,rbt2_scan,rbt1_fov,rbt2_fov,rbt1_2_server,rbt2_2_server,server_rcv1,server_rcv2,map_1,map_2,global,rrt_1,rrt_2,server_robot1,server_robot2,rbt1_rcv,rbt2_rcv,rbt1_acuation,rbt2_acuation
,,,,,,1728855922.418666,1728855922.0715368,10.26,10.248,0.0,1.1096882820129397,5.967496871948242,,<built-in function time>,,,0.4,9.6
,,,,,,1728855956.4176688,1728855956.045364,10.19,10.19,2.0,2.6241977214813232,3.456193208694458,,<built-in function time>,,,0.093,0.113
,,,,,,1728855995.630602,1728855995.3873718,10.209,10.242,2.0,5.091657876968384,5.898036956787109,,<built-in function time>,,,0.199,0.199
,,,,,,1728856028.7153728,1728856027.664682,10.193,9.975,2.0,0.9519929885864258,1.9055306911468504,,<built-in function time>,,,0.198,0.199
,,,,,,1728856063.324299,1728856065.0085058,10.018,10.797,2.0,3.596555709838867,4.395315647125244,,<built-in function time>,,,0.198,0.199
,,,,,,1728856098.4352355,1728856099.513011,10.372,10.191,2.0,6.252066135406494,0.3053910732269287,,<built-in function time>,,,0.197,0.198
,,,,,,1728856135.3042798,1728856137.84302,10.004,10.407,2.004,1.9933977127075195,4.607531785964966,,<built-in function time>,,,0.198,0.199
,,,,,,1728856174.542389,1728856181.01517,10.214,11.196,1.996,0.6458768844604492,0.1995344161987304,,<built-in function time>,,,0.194,0.199
,,,,,,1728856218.5935037,1728856224.9851236,10.649,10.816,2.0,3.505343198776245,4.995214939117432,,<built-in function time>,,,0.199,0.198
,,,,,,1728856257.9761386,1728856263.5726843,10.594,10.197,2.0,6.255416631698608,1.6443867683410645,,<built-in function time>,,,0.198,0.199
,,,,,,1728856297.8316977,1728856308.7316425,10.403,11.805,2.001,2.480318307876587,5.634192228317261,,<built-in function time>,,,0.198,0.199
,,,,,,1728856338.987397,1728856348.1401567,10.578,10.004,1.999,5.2456676959991455,1.3558754920959473,,<built-in function time>,,,0.198,0.199
,,,,,,1728856381.890538,1728856388.280867,11.213,10.603,2.0,1.5074083805084229,1.040123462677002,,<built-in function time>,,,0.193,0.198
,,,,,,1728856422.1968138,1728856426.3434184,10.59,9.99,2.0,4.515462160110474,5.107040166854858,,<built-in function time>,,,0.199,0.2
,,,,,,1728856466.0402718,1728856465.6493125,11.987,10.812,2.0,3.1182777881622314,1.570906162261963,,<built-in function time>,,,0.195,0.199
,,,,,,1728856505.1880858,1728856506.3552525,10.409,10.798,2.001,6.158727407455444,5.771588087081909,,<built-in function time>,,,0.198,0.199
,,,,,,1728856547.6348913,1728856547.1877284,11.202,10.812,1.999,2.176988124847412,2.2883760929107666,,<built-in function time>,,,0.199,0.199
,,,,,,1728856590.268449,1728856586.6883056,11.214,10.389,2.001,5.511214017868042,6.676074981689453,,<built-in function time>,,,0.194,0.198
,,,,,,1728856630.8986878,1728856666.4333315,10.607,10.21,1.999,1.6446058750152588,3.106818675994873,,<built-in function time>,,,0.2,0.198
,,,,,,1728856672.6938007,1728856707.406558,10.82,10.59,2.0,5.27783465385437,7.392804861068726,,<built-in function time>,,,0.198,0.198
,,,,,,1728856712.632269,1728856747.023586,10.185,10.403,2.0,1.4464638233184814,3.2788078784942627,,<built-in function time>,,,0.103,0.198
,,,,,,1728856753.2003238,1728856787.5967362,10.39,10.213,2.001,4.616574048995972,7.042834043502808,,<built-in function time>,,,0.02,0.198
,,,,,,1728856795.2178226,1728856829.1080346,10.594,10.192,2.003,7.344943046569824,3.814519643783569,,<built-in function time>,,,0.2,0.198
,,,,,,1728856836.2796354,1728856869.3098583,10.825,10.782,1.996,3.136972427368164,8.519546747207642,,<built-in function time>,,,0.194,0.199
,,,,,,1728856876.3550787,1728856916.8749702,10.404,10.639,2.0,6.352051734924316,3.6444077491760254,,<built-in function time>,,,0.199,0.199
,,,,,,1728856921.7961867,1728856959.3897016,10.586,11.181,2.0,2.8853540420532227,8.127758741378784,,<built-in function time>,,,0.178,0.197
,,,,,,1728856966.3586662,1728857005.693298,11.022,10.418,2.0,6.5922722816467285,3.3285107612609863,,<built-in function time>,,,0.017,0.198
,,,,,,1728857009.6855266,,10.2,10.997,2.001,7.132940292358398,7.355752468109131,,<built-in function time>,,,0.198,65.729
,,,,,,,,,,2.0,4.582948207855225,3.4826643466949463,,<built-in function time>,,,0.196,0.032
,,,,,,,,,,2.0,0.674340009689331,2.9376652240753174,,<built-in function time>,,,0.198,0.196
,,,,,,,,,,1.999,5.073729038238525,6.789469480514526,,<built-in function time>,,,0.176,0.199
,,,,,,,,,,2.002,1.5863158702850342,3.282278060913086,,<built-in function time>,,,0.015,0.195
,,,,,,,,,,1.999,5.669103860855103,3.523087978363037,,<built-in function time>,,,0.199,0.198
,,,,,,,,,,2.0,2.259430408477783,7.334513425827026,,<built-in function time>,,,0.198,0.195
,,,,,,,,,,1.999,6.492062330245972,3.486870527267456,,<built-in function time>,,,0.197,0.197
,,,,,,,,,,2.001,3.210144758224488,7.114675998687744,,<built-in function time>,,,0.178,0.196
,,,,,,,,,,1.999,0.1992390155792236,3.384838342666626,,<built-in function time>,,,0.016,0.199
,,,,,,,,,,2.0,4.784200191497803,7.342336893081665,,<built-in function time>,,,0.195,0.197
,,,,,,,,,,2.0,1.5883615016937256,3.742917060852051,,<built-in function time>,,,0.196,0.198
,,,,,,,,,,2.0,6.7636823654174805,0.1112616062164306,,<built-in function time>,,,0.179,0.199
,,,,,,,,,,2.0,3.0786306858062744,3.840584754943848,,<built-in function time>,,,0.02,0.199
,,,,,,,,,,2.0,7.373514413833618,0.5061464309692383,,<built-in function time>,,,0.199,0.195
,,,,,,,,,,2.0,7.703658580780029,3.293617248535156,,<built-in function time>,,,0.198,0.197
,,,,,,,,,,2.001,4.074141979217529,5.9335267543792725,,<built-in function time>,,,0.198,0.195
,,,,,,,,,,1.999,0.6058852672576904,3.545827388763428,,<built-in function time>,,,0.181,0.192
,,,,,,,,,,2.002,4.899789094924927,1.537336349487305,,<built-in function time>,,,0.014,0.197
,,,,,,,,,,1.998,1.5357508659362793,5.383822202682495,,<built-in function time>,,,0.198,0.198
,,,,,,,,,,2.0,5.360057353973389,1.4321279525756836,,<built-in function time>,,,0.2,0.198
,,,,,,,,,,2.0,1.91553282737732,1.9592273235321045,,<built-in function time>,,,0.199,0.201
,,,,,,,,,,2.0,5.941552400588989,5.233113765716553,,<built-in function time>,,,0.197,0.195
,,,,,,,,,,2.0,1.7210197448730469,0.9969396591186525,,<built-in function time>,,,0.197,0.197
,,,,,,,,,,2.0,2.7284905910491943,4.130501747131348,,<built-in function time>,,,0.195,0.196
,,,,,,,,,,2.001,6.893516302108765,0.1122097969055175,,<built-in function time>,,,16.576,0.197
,,,,,,,,,,1.999,0.2610304355621338,3.586080312728882,,<built-in function time>,,,0.034,0.199
,,,,,,,,,,2.0,4.409928321838379,7.108172655105591,,<built-in function time>,,,0.198,74.967
,,,,,,,,,,2.0,1.3040878772735596,2.678746461868286,,<built-in function time>,,,0.198,0.112
,,,,,,,,,,2.0,5.555746793746948,6.0924391746521,,<built-in function time>,,,0.199,0.198
,,,,,,,,,,2.0,5.266111850738525,2.892582416534424,,<built-in function time>,,,0.199,0.195
,,,,,,,,,,2.0,1.809053659439087,0.2442812919616699,,<built-in function time>,,,0.199,0.199
,,,,,,,,,,2.0,6.201136112213135,3.530356407165528,,<built-in function time>,,,0.198,0.2
,,,,,,,,,,2.0,2.846883773803711,6.818557977676392,,<built-in function time>,,,0.197,0.2
,,,,,,,,,,2.001,0.1240174770355224,2.80199670791626,,<built-in function time>,,,0.2,0.198
,,,,,,,,,,1.999,4.323765993118286,0.9049932956695556,,<built-in function time>,,,0.197,0.196
,,,,,,,,,,2.001,1.5114505290985107,4.714503288269043,,<built-in function time>,,,0.199,0.199
,,,,,,,,,,1.999,5.5564284324646,1.0483613014221191,,<built-in function time>,,,0.198,0.198
,,,,,,,,,,2.0,2.257677793502808,4.872879981994629,,<built-in function time>,,,0.195,0.195
,,,,,,,,,,2.0,6.453818321228027,1.2713844776153564,,<built-in function time>,,,0.198,0.195
,,,,,,,,,,2.0,7.697291851043701,7.579482555389404,,<built-in function time>,,,0.198,0.198
,,,,,,,,,,2.0,4.252806901931763,4.406264066696167,,<built-in function time>,,,0.199,0.197
,,,,,,,,,,2.0,1.170710802078247,4.685753583908081,,<built-in function time>,,,0.198,0.199
,,,,,,,,,,2.0,5.939286470413208,7.138847589492798,,<built-in function time>,,,0.197,0.197
,,,,,,,,,,2.0,3.346299648284912,2.8577260971069336,,<built-in function time>,,,0.195,0.198
,,,,,,,,,,2.0,0.8464322090148926,4.770003080368042,,<built-in function time>,,,0.197,0.194
,,,,,,,,,,2.0,5.856863021850586,,,,,,0.199,0.194
,,,,,,,,,,2.0,2.953179359436035,,,,,,0.196,0.2
,,,,,,,,,,2.0,6.08283281326294,,,,,,0.2,0.196
,,,,,,,,,,2.0,2.570512533187866,,,,,,0.199,0.193
,,,,,,,,,,2.001,6.648937225341797,,,,,,0.197,0.2
,,,,,,,,,,1.999,2.91597867012024,,,,,,0.199,0.197
,,,,,,,,,,2.0,7.040036916732788,,,,,,32.038,0.2
,,,,,,,,,,2.0,3.2707345485687256,,,,,,0.096,0.199
,,,,,,,,,,2.0,7.212660789489746,,,,,,0.197,5.284
,,,,,,,,,,2.0,4.716364860534668,,,,,,0.2,0.167
,,,,,,,,,,2.0,5.092989683151245,,,,,,0.198,0.198
,,,,,,,,,,2.0,1.7231628894805908,,,,,,0.199,0.2
,,,,,,,,,,2.0,5.973274230957031,,,,,,0.199,0.197
,,,,,,,,,,2.001,2.6039624214172363,,,,,,0.101,0.195
,,,,,,,,,,1.999,0.7708115577697754,,,,,,0.091,0.195
,,,,,,,,,,2.0,5.205034494400024,,,,,,0.196,0.198
,,,,,,,,,,2.0,2.0155208110809326,,,,,,0.197,0.196
,,,,,,,,,,2.0,6.554413080215454,,,,,,0.198,0.195
,,,,,,,,,,2.0,3.314726114273072,,,,,,0.198,0.196
,,,,,,,,,,2.002,4.427457809448242,,,,,,0.101,0.194
,,,,,,,,,,1.999,1.3061325550079346,,,,,,0.095,0.195
,,,,,,,,,,1.999,7.613735914230347,,,,,,0.199,0.196
,,,,,,,,,,2.0,4.243865251541138,,,,,,0.199,0.199
,,,,,,,,,,2.0,1.1148202419281006,,,,,,0.197,0.195
,,,,,,,,,,2.0,5.7623512744903564,,,,,,0.198,0.199
,,,,,,,,,,2.0,2.597477912902832,,,,,,0.197,0.197
,,,,,,,,,,2.003,7.572472810745239,,,,,,0.102,0.198
,,,,,,,,,,1.997,1.1649169921875,,,,,,0.093,0.192
,,,,,,,,,,2.0,5.625718832015991,,,,,,0.198,0.199
,,,,,,,,,,2.0,3.926912069320679,,,,,,0.198,0.195
,,,,,,,,,,2.002,0.4106175899505615,,,,,,0.195,0.195
,,,,,,,,,,1.998,1.3212287425994873,,,,,,0.2,0.196
,,,,,,,,,,2.001,5.788700342178345,,,,,,0.102,0.195
,,,,,,,,,,1.999,2.67350172996521,,,,,,0.095,0.196
,,,,,,,,,,2.0,4.368724584579468,,,,,,0.198,0.2
,,,,,,,,,,2.001,3.3546035289764404,,,,,,0.197,4.627
,,,,,,,,,,1.999,0.1818535327911377,,,,,,0.196,0.024
,,,,,,,,,,2.0,5.467608690261841,,,,,,15.904,0.196
,,,,,,,,,,2.0,2.5790579319000244,,,,,,0.037,0.197
,,,,,,,,,,2.001,7.764381170272827,,,,,,0.195,0.198
,,,,,,,,,,2.0,4.883224487304688,,,,,,0.197,0.197
,,,,,,,,,,1.999,2.341878652572632,,,,,,0.197,0.199
,,,,,,,,,,2.001,7.271257638931274,,,,,,0.198,0.196
,,,,,,,,,,2.0,6.763288497924805,,,,,,0.199,0.197
,,,,,,,,,,1.999,7.379237651824951,,,,,,0.162,0.199
,,,,,,,,,,2.001,4.546733379364014,,,,,,0.034,0.197
,,,,,,,,,,1.999,2.0813302993774414,,,,,,0.197,0.196
,,,,,,,,,,2.001,7.129194736480713,,,,,,0.158,0.197
,,,,,,,,,,1.999,4.213419675827026,,,,,,0.1,0.198
,,,,,,,,,,2.0,1.749089241027832,,,,,,0.198,0.198
,,,,,,,,,,2.0,0.5776870250701904,,,,,,0.198,0.198
,,,,,,,,,,2.0,4.900476455688477,,,,,,0.198,0.198
,,,,,,,,,,2.001,0.9357948303222656,,,,,,0.198,0.198
,,,,,,,,,,2.0,4.833854675292969,,,,,,0.2,0.195
,,,,,,,,,,1.999,1.0238568782806396,,,,,,0.098,0.194
,,,,,,,,,,2.001,5.035051107406616,,,,,,0.094,0.2
,,,,,,,,,,1.999,1.3232011795043943,,,,,,0.199,0.199
,,,,,,,,,,2.001,5.591969013214111,,,,,,0.1,0.195
,,,,,,,,,,1.999,2.4302282333374023,,,,,,0.186,0.196
,,,,,,,,,,2.0,7.766764879226685,,,,,,0.197,0.199
,,,,,,,,,,2.002,4.555959701538086,,,,,,0.198,0.198
,,,,,,,,,,1.998,0.3441357612609863,,,,,,0.199,0.195
,,,,,,,,,,2.0,4.578386068344116,,,,,,0.198,37.574
,,,,,,,,,,2.0,0.1582884788513183,,,,,,0.198,0.182
,,,,,,,,,,2.001,4.531684398651123,,,,,,0.199,0.197
,,,,,,,,,,2.0,0.2340319156646728,,,,,,0.193,0.198
,,,,,,,,,,1.999,4.315420627593994,,,,,,0.198,0.2
,,,,,,,,,,2.002,0.3997704982757568,,,,,,0.2,0.197
,,,,,,,,,,1.999,1.2688817977905271,,,,,,0.198,0.198
,,,,,,,,,,2.0,7.512307643890381,,,,,,0.198,0.197
,,,,,,,,,,1.999,4.065756559371948,,,,,,0.009,0.196
,,,,,,,,,,2.0,0.8049807548522949,,,,,,0.187,0.199
,,,,,,,,,,2.0,5.577054500579834,,,,,,0.197,0.195
,,,,,,,,,,2.0,2.914303779602051,,,,,,0.196,0.198
,,,,,,,,,,2.0,7.908098459243774,,,,,,0.196,0.196
,,,,,,,,,,2.0,4.771729707717896,,,,,,0.199,0.197
,,,,,,,,,,2.0,1.9008052349090576,,,,,,0.01,0.194
,,,,,,,,,,2.0,7.866987943649292,,,,,,0.181,0.199
,,,,,,,,,,,4.79813289642334,,,,,,0.198,0.198
,,,,,,,,,,,1.7239434719085691,,,,,,0.2,0.2
,,,,,,,,,,,6.743731498718262,,,,,,0.196,0.195
,,,,,,,,,,,3.557199716567993,,,,,,0.194,0.196
,,,,,,,,,,,0.4858782291412353,,,,,,0.197,0.197
,,,,,,,,,,,5.882010459899902,,,,,,0.2,0.195
,,,,,,,,,,,2.8117876052856445,,,,,,0.199,0.194
,,,,,,,,,,,8.197709083557129,,,,,,0.195,0.2
,,,,,,,,,,,4.625169277191162,,,,,,14.211,0.2
,,,,,,,,,,,1.2128751277923584,,,,,,0.008,0.194
,,,,,,,,,,,6.082505702972412,,,,,,0.196,0.197
,,,,,,,,,,,3.108213186264038,,,,,,0.198,
,,,,,,,,,,,0.13077139854431152,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.195,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.193,
,,,,,,,,,,,,,,,,,0.004,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.195,
,,,,,,,,,,,,,,,,,0.195,
,,,,,,,,,,,,,,,,,0.198,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.198,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.194,
,,,,,,,,,,,,,,,,,0.202,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.194,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.198,
,,,,,,,,,,,,,,,,,0.198,
,,,,,,,,,,,,,,,,,0.2,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,4.987,
,,,,,,,,,,,,,,,,,0.023,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.199,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.176,
,,,,,,,,,,,,,,,,,0.019,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.194,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.197,
,,,,,,,,,,,,,,,,,0.175,
,,,,,,,,,,,,,,,,,0.018,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.2,
,,,,,,,,,,,,,,,,,0.193,
,,,,,,,,,,,,,,,,,0.198,
,,,,,,,,,,,,,,,,,0.198,
,,,,,,,,,,,,,,,,,0.178,
,,,,,,,,,,,,,,,,,0.017,
,,,,,,,,,,,,,,,,,0.196,
,,,,,,,,,,,,,,,,,0.198,
,,,,,,0.198,,,,,,,,,,,,
